id,backbone,degree
0,True,5
1,False,3
2,False,2
3,True,6
4,True,9
5,False,3
6,False,4
7,False,4
8,True,10
9,False,3
10,False,2
11,True,8
12,True,5
13,False,3
14,True,10
15,True,8
16,True,5
17,False,3
18,True,6
19,False,4
20,True,5
21,False,4
22,False,3
23,False,4
24,False,0
25,True,5
26,False,4
27,True,6
28,False,1
29,False,2
30,False,3
31,False,4
32,True,7
33,True,5
34,False,3
35,True,8
36,False,4
37,False,1
38,True,6
39,False,1
40,True,5
41,True,6
42,True,5
43,True,5
44,False,3
45,True,8
46,True,5
47,False,2
48,False,3
49,True,8
50,False,2
51,False,3
52,True,5
53,True,6
54,False,3
55,False,4
56,False,3
57,True,7
58,False,3
59,False,3
60,True,7
61,False,2
62,True,6
63,False,1
64,False,3
65,False,4
66,False,2
67,False,1
68,False,2
69,False,3
70,False,3
71,False,0
72,True,7
73,False,1
74,False,4
75,False,1
76,False,3
77,False,4
78,False,0
79,True,10
80,True,5
81,False,3
82,True,7
83,True,8
84,True,9
85,False,3
86,False,4
87,False,4
88,False,3
89,True,8
90,True,6
91,True,6
92,True,7
93,False,2
94,True,5
95,False,1
96,False,1
97,False,1
98,False,1
99,False,1
100,True,5
101,True,5
102,False,3
103,True,8
104,False,3
105,True,7
106,False,0
107,False,4
108,False,3
109,True,6
110,False,1
111,True,8
112,False,3
113,True,6
114,True,9
115,False,3
116,True,7
117,False,2
118,False,3
119,False,4
120,True,5
121,True,10
122,False,3
123,False,3
124,True,7
125,False,2
126,True,7
127,True,6
128,False,1
129,True,9
130,False,3
131,False,2
132,True,6
133,True,5
134,False,4
135,True,8
136,False,3
137,False,1
138,True,8
139,True,6
140,True,5
141,False,4
142,True,6
143,False,4
144,False,4
145,True,6
146,True,11
147,True,5
148,True,6
149,False,4
150,False,3
151,True,6
152,True,9
153,False,4
154,True,10
155,False,2
156,False,2
157,False,4
158,False,3
159,True,6
160,True,7
161,True,5
162,True,7
163,True,7
164,True,6
165,True,5
166,True,5
167,False,3
168,True,5
169,True,5
170,True,5
171,False,2
172,False,3
173,False,4
174,False,2
175,True,8
176,False,3
177,True,6
178,False,2
179,False,4
180,False,3
181,True,9
182,True,5
183,True,6
184,False,4
185,False,4
186,True,9
187,True,5
188,True,6
189,True,6
190,True,8
191,True,7
192,True,5
193,False,3
194,False,1
195,True,6
196,False,4
197,False,2
198,False,1
199,True,6
200,True,6
201,False,4
202,True,10
203,False,1
204,True,6
205,True,6
206,False,0
207,False,3
208,False,4
209,False,3
210,False,4
211,True,9
212,False,3
213,True,5
214,True,6
215,False,4
216,False,2
217,False,3
218,True,5
219,True,8
