source,target,distance
0,159,12.364296
0,165,12.778242
0,182,4.003612
0,210,4.110747
0,211,10.584325
1,45,5.936536
1,46,5.59158
1,168,12.710596
2,131,10.508204
2,216,5.461351
3,45,7.290248
3,62,1.239643
3,72,3.129243
3,105,6.61356
3,191,11.641811
3,199,9.423935
4,8,6.040632
4,15,7.829413
4,60,9.810982
4,82,3.736118
4,114,7.469408
4,121,11.174803
4,152,6.718541
4,181,6.16217
4,200,10.08339
5,87,7.142211
5,112,8.915225
5,176,5.642078
6,9,5.151787
6,16,10.387335
6,100,11.250605
6,145,12.443055
7,54,6.980055
7,64,10.845154
7,85,12.042487
7,107,11.206906
8,15,3.467507
8,60,6.999161
8,82,9.63183
8,114,11.470334
8,121,11.159387
8,142,10.379493
8,152,11.790793
8,181,11.244015
8,200,4.086884
9,16,9.175992
9,100,9.437745
10,134,9.394359
10,145,12.750395
11,53,8.651943
11,90,7.480593
11,116,10.83736
11,146,8.168951
11,151,12.365957
11,160,7.851267
11,218,6.413785
11,219,12.166423
12,57,4.909321
12,108,7.266765
12,151,11.343233
12,214,7.035323
12,219,6.055426
13,26,5.508551
13,113,3.040197
13,129,6.569793
14,79,1.860525
14,111,6.587267
14,129,10.81972
14,132,12.813438
14,154,4.024959
14,175,10.938499
14,182,12.743745
14,186,0.678251
14,202,7.475327
14,211,8.27079
15,21,12.631383
15,60,3.644295
15,82,11.557267
15,142,6.931793
15,162,11.404866
15,200,5.029037
16,100,1.356571
16,145,8.714098
16,184,7.149653
17,56,4.0045
17,70,10.832873
17,205,8.084283
18,58,10.013574
18,116,10.04141
18,146,9.393419
18,160,12.235341
18,166,3.707943
18,193,8.182455
19,41,7.551462
19,147,9.150644
19,164,11.929554
19,215,5.560329
20,144,6.22343
20,165,12.20803
20,175,6.478855
20,177,8.714028
20,202,9.987834
21,60,10.352958
21,142,6.314915
21,162,12.469399
22,63,12.007259
22,76,10.955818
22,141,5.464284
23,25,2.537824
23,168,2.362135
23,191,5.948095
23,204,9.896604
25,168,4.552561
25,191,6.918368
25,201,11.624501
25,204,7.591245
26,113,8.107266
26,129,11.139544
26,137,12.673294
27,84,8.251161
27,103,9.664966
27,131,11.475545
27,140,12.423825
27,188,6.798799
27,212,7.503479
28,153,11.327826
29,99,4.736244
29,171,10.888925
30,67,12.213966
30,122,7.485147
30,207,7.516887
31,134,12.575234
31,150,3.784489
31,204,12.741638
31,213,10.483354
32,53,12.736086
32,114,7.905851
32,121,7.369041
32,127,2.560656
32,148,2.78007
32,152,9.998334
32,181,10.275656
33,38,6.443351
33,80,8.090207
33,141,12.202584
33,143,11.802403
33,189,6.803824
34,36,11.658171
34,46,12.519905
34,52,5.918958
35,40,11.397731
35,43,9.587414
35,49,0.274709
35,91,3.365045
35,94,7.422986
35,101,9.907415
35,183,7.366212
35,205,12.648716
36,52,8.487124
36,70,10.087459
36,105,10.85967
37,194,12.427523
38,55,10.363445
38,80,7.664335
38,167,12.484568
38,189,1.964418
38,192,8.551854
39,95,4.843434
40,43,10.557275
40,49,11.15774
40,94,5.382796
40,205,12.796109
41,161,12.58857
41,164,5.145267
41,187,8.282333
41,210,9.926181
41,215,3.582986
42,84,7.569098
42,89,11.010251
42,103,5.12297
42,139,6.270778
42,190,6.566458
43,49,9.360176
43,91,10.841183
43,94,5.76371
44,68,5.220801
44,123,9.477179
44,197,10.458394
45,46,6.27295
45,52,12.109026
45,62,8.069638
45,72,10.16735
45,105,8.909245
45,191,12.687587
46,52,9.625654
46,105,12.267909
47,74,6.667736
47,130,2.658022
48,196,9.424102
48,209,4.400871
48,214,8.751239
49,91,3.562369
49,94,7.152818
49,101,10.17233
49,183,7.551945
49,205,12.657748
50,101,9.229931
50,183,11.340549
51,83,12.052203
51,136,6.112489
51,174,9.000338
52,105,10.023018
53,116,6.44379
53,146,12.599881
53,160,3.983071
53,218,2.305129
54,64,3.981772
54,85,5.245471
55,80,6.801969
55,189,12.201612
55,192,7.762716
56,70,6.833368
56,205,9.435218
57,90,10.153559
57,108,10.113377
57,146,10.777503
57,151,9.371127
57,214,8.910026
57,219,2.643755
58,93,3.437107
58,217,5.251493
59,109,12.533502
59,158,2.472556
59,180,4.102197
60,142,4.079639
60,162,8.011203
60,200,8.317751
61,66,7.576796
61,115,11.642953
62,72,3.208007
62,105,7.755878
62,191,10.795959
62,199,8.190184
64,85,1.281588
65,72,11.130084
65,81,8.499231
65,119,0.853096
65,208,4.425974
66,115,4.818709
68,197,8.519043
69,76,5.215823
69,126,12.079629
69,172,11.324137
72,105,6.429534
72,119,10.624658
72,199,9.7786
73,178,5.511828
74,130,4.040133
74,196,6.967874
74,209,10.885485
75,104,7.675271
76,141,11.18068
77,83,5.660154
77,149,0.737035
77,157,7.187507
77,169,8.705069
79,111,5.470543
79,120,12.068838
79,129,12.595541
79,154,5.883331
79,175,9.734066
79,177,12.085508
79,186,1.383397
79,202,6.221398
79,211,9.864034
80,189,9.5466
80,192,11.3109
81,119,8.936053
81,208,7.410489
82,114,5.432756
82,121,11.502399
82,152,3.67135
82,181,3.215279
83,86,9.697224
83,136,8.084722
83,149,5.869175
83,157,10.894182
83,169,12.681584
83,173,11.412237
84,89,8.638349
84,103,4.371424
84,139,6.348802
84,140,10.984814
84,188,8.527597
84,190,5.429996
84,212,10.522409
86,136,12.756657
86,153,6.402569
86,173,5.722075
87,112,5.092057
87,176,7.065145
87,185,10.759078
88,150,9.180452
88,199,9.032779
88,208,11.77378
89,103,11.753947
89,139,4.750074
89,140,10.014208
89,162,8.701815
89,188,12.270394
89,190,4.562157
90,146,12.404503
90,151,5.030979
90,214,12.051074
90,219,7.906005
91,94,10.223671
91,101,7.311795
91,183,8.208402
92,124,5.115443
92,126,7.15791
92,135,10.422282
92,138,11.272418
92,163,8.216563
92,185,9.532273
92,195,7.211751
93,217,6.218243
96,179,11.318328
97,169,10.046605
98,180,8.958463
100,145,9.936923
100,184,6.787791
101,183,8.817393
102,125,9.287926
102,155,8.295781
102,171,11.340611
103,139,7.918389
103,188,12.294182
103,190,7.464836
103,212,8.394551
104,122,9.955352
104,207,10.15245
107,109,8.035984
107,147,6.169237
107,159,11.396405
108,219,12.363358
109,147,8.476672
109,158,12.143026
109,159,4.342239
109,165,7.230399
110,115,8.309496
111,120,10.753964
111,132,11.38667
111,154,9.694949
111,177,12.713712
111,186,5.918628
111,202,9.827054
112,176,5.015568
113,129,3.572568
113,132,12.343716
113,154,10.529597
113,211,11.321934
114,121,7.477796
114,127,8.63027
114,148,9.651139
114,152,2.478804
114,181,2.539685
116,146,9.847794
116,160,3.325288
116,166,10.899344
116,218,6.403818
117,172,5.451638
117,185,6.986537
118,156,4.079724
118,161,12.161707
118,170,9.041679
119,208,4.035657
120,175,9.664779
120,177,4.353113
120,202,9.50371
121,127,5.6227
121,148,6.586831
121,152,9.8413
121,181,9.706685
121,200,12.195498
122,207,0.36543
123,145,10.118879
123,184,8.777209
124,126,8.406387
124,133,10.725578
124,135,6.358299
124,138,6.211428
124,163,8.060739
124,195,6.008512
125,155,4.13637
126,135,8.862055
126,138,12.091604
126,163,2.228771
126,195,3.65841
127,148,1.120362
127,152,10.993976
127,181,11.154965
128,133,7.386902
129,132,10.589988
129,154,7.024503
129,186,11.212521
129,211,8.819218
130,196,10.531645
132,154,11.901217
132,186,12.615275
133,135,12.180341
133,138,8.088684
133,143,12.53037
134,179,10.517431
134,213,9.633587
135,138,4.142615
135,143,8.559477
135,163,7.030148
135,195,5.221922
138,143,7.751113
138,163,10.62597
138,195,8.514273
139,162,12.459135
139,190,1.06439
140,188,5.769994
140,190,12.026794
141,163,12.702104
142,162,8.209711
142,200,10.341828
144,159,11.479403
144,165,7.787633
144,175,12.085677
145,184,10.606557
146,160,9.145801
146,166,6.573949
146,193,8.657794
146,218,10.624292
146,219,11.543263
147,159,9.38487
147,210,12.24323
148,152,11.975687
148,181,12.160367
149,157,6.471534
149,169,9.234924
150,199,11.943953
151,214,7.534865
151,219,6.729462
152,181,0.562481
153,173,10.970002
153,203,12.316351
154,182,11.61736
154,186,4.561658
154,202,10.90545
154,211,5.637224
156,170,8.684067
157,174,10.443574
158,180,6.489561
159,165,3.722696
160,166,12.172535
160,218,3.189738
161,164,7.814042
161,170,6.415115
161,187,6.892344
162,190,12.755914
163,195,2.223343
164,170,11.120967
164,187,3.49569
164,215,6.532084
166,193,5.118422
167,189,11.932318
167,192,8.235847
168,191,7.467095
168,204,11.109908
169,173,11.695308
170,187,8.183217
172,185,8.011332
175,177,6.172269
175,186,10.878069
175,202,3.512999
177,202,7.42597
178,198,8.696092
179,201,12.733461
179,213,11.847708
182,210,7.048667
182,211,6.598829
183,205,8.63111
186,202,7.380699
186,211,8.947788
187,215,8.533616
188,190,12.107822
189,192,9.414821
191,199,7.482117
196,209,5.046063
201,204,4.05861
201,213,4.145762
202,211,12.386969
204,213,6.435572
214,219,7.511671
216,217,11.389612
